OBJECTID;GKZ;ZONE_CODE;COUNT;AREA;MIN;MAX;RANGE;MEAN;STD;SUM
112;56612529;112;2615;1634375,000000000000000;0,130465671420097;17,871627807617188;17,741162136197090;5,791580711535924;2,723985483189664;15144,983560666442000
113;5661279;113;2669;1668125,000000000000000;0,020257115364075;15,517575263977051;15,497318148612976;4,833004839428023;2,917283635973262;12899,289916433394000
114;5661232;114;2223;1389375,000000000000000;1,227400183677673;19,575714111328125;18,348313927650452;9,150287971269210;3,459861898903704;20341,090160131454000
115;5614431;115;586;366250,000000000000000;0,147862747311592;3,368875503540039;3,221012756228447;1,849094023400403;0,529944752454136;1083,569097712636000
116;5661271;116;11986;7491250,000000000000000;0,009059257805347;18,659629821777344;18,650570563971996;4,857709982795443;2,673431910635837;58224,511853786185000
117;5661231;117;497;310625,000000000000000;0,741468727588654;18,334867477416992;17,593398749828339;11,874122787889101;3,921072140489522;5901,439025580883000
118;5614519;118;2079;1299375,000000000000000;0,050764176994562;8,067602157592773;8,016837980598211;2,583577034861466;1,423721218203474;5371,256655476987400
119;5661245;119;583;364375,000000000000000;0,054052714258432;18,651960372924805;18,597907658666372;5,415094836268376;4,612315332543545;3157,000289544463200
120;566118;120;5169;3230625,000000000000000;0,074484474956989;15,225409507751465;15,150925032794476;4,515466490196499;2,032964730552475;23340,446287825704000
121;56613239;121;4939;3086875,000000000000000;0,064058601856232;18,706634521484375;18,642575919628143;4,482969198345016;2,710259368403574;22141,384870626032000
122;5661272;122;1534;958750,000000000000000;0,156544014811516;14,306503295898437;14,149959281086922;5,159975064381705;2,685111302770167;7915,401748761534700
123;5661249;123;1326;828750,000000000000000;0,517633557319641;14,121473312377930;13,603839755058289;4,752350928422013;2,744031553499635;6301,617331087589300
124;56143;124;116;72500,000000000000000;0,130465671420097;4,419742584228516;4,289276912808418;1,958669707564444;1,283943612730414;227,205686077475550
125;5661255;125;4412;2757500,000000000000000;0,004051423631608;15,660298347473145;15,656246923841536;4,752179265731324;2,143267066502564;20966,614920406602000
126;561447;126;16;10000,000000000000000;0,085176236927509;4,086565971374512;4,001389734447002;1,861385401804000;1,417459636175532;29,782166428864002
127;561446;127;546;341250,000000000000000;0,042298093438148;5,873143196105957;5,830845102667809;2,156357765231868;1,322960660843023;1177,371339816600100
128;5661233;128;3888;2430000,000000000000000;0,117491111159325;20,411531448364258;20,294040337204933;9,236855501289874;4,247792989896680;35912,894189015031000
129;56613264;129;3604;2252500,000000000000000;0,065327212214470;13,552480697631836;13,487153485417366;3,570216305872279;1,658015630022669;12867,059566363692000
130;5661256;130;5361;3350625,000000000000000;0,014607614837587;15,865192413330078;15,850584798492491;4,058787411251664;2,241476128859141;21759,159311720170000
131;5614439;131;3091;1931875,000000000000000;0,069349162280560;8,993260383605957;8,923911221325398;1,887935445281496;0,940840494363415;5835,608461365103700
132;56613191;132;3635;2271875,000000000000000;0,037352271378040;22,142601013183594;22,105248741805553;4,204074350990448;2,836113598917788;15281,810265850276000
133;5614432;133;1425;890625,000000000000000;0,070755034685135;3,819991350173950;3,749236315488815;1,585325452622614;0,549396985239905;2259,088769987225500
134;561453;134;1319;824375,000000000000000;0,086704179644585;13,083512306213379;12,996808126568794;2,266410789429192;1,466227169563694;2989,395831257104900
135;5661322;135;2878;1798750,000000000000000;0,046193324029446;14,203763961791992;14,157570637762547;4,134332673946465;2,617693575804239;11898,609435617924000
136;5661229;136;16248;10155000,000000000000000;0,005729577969760;21,587104797363281;21,581375219393522;8,832362454223556;3,983263163659026;143508,225156224330000
137;5661169;137;16344;10215000,000000000000000;0,014607614837587;22,067665100097656;22,053057485260069;4,761756598941740;2,558488161556214;77826,149853103794000
138;5661243;138;4253;2658125,000000000000000;0,079803735017776;17,366317749023437;17,286514014005661;5,046801408269729;2,783061380757620;21464,046389371157000
139;5661179;139;1278;798750,000000000000000;0,020257115364075;19,594121932983398;19,573864817619324;5,537749442923377;4,843765730455028;7077,243788056075600
140;5661244;140;4280;2675000,000000000000000;0,016704445704818;19,920972824096680;19,904268378391862;5,326259489198624;2,949854632405266;22796,390613770112000
141;566114;141;12759;7974375,000000000000000;0,073038034141064;15,349927902221680;15,276889868080616;4,475266990769582;2,405712162068862;57099,931535229087000
142;5661172;142;3178;1986250,000000000000000;0,076442055404186;15,373284339904785;15,296842284500599;4,757985901188333;2,796267571214035;15120,879193976521000
143;56613231;143;1303;814375,000000000000000;0,081028416752815;18,849641799926758;18,768613383173943;5,652890158644202;3,014324507419276;7365,715876713395100
144;5661254;144;9961;6225625,000000000000000;0,164917856454849;13,749369621276855;13,584451764822006;4,630790000315615;1,721473384608485;46127,299193143845000
145;5661246;145;5261;3288125,000000000000000;0,204545870423317;21,276092529296875;21,071546658873558;8,242993533033491;4,485562663642111;43366,388977289200000
146;56141;146;2475;1546875,000000000000000;0,041711948812008;6,540275096893311;6,498563148081303;1,812072645603406;0,709628037422748;4484,879797868430600
147;561449;147;295;184375,000000000000000;0,200452536344528;11,708814620971680;11,508362084627151;2,898470899311163;2,314543113287976;855,048915296792980
148;5614511;148;768;480000,000000000000000;0,033408891409636;15,352115631103516;15,318706739693880;3,726705014938489;3,327684430321592;2862,109451472759200
149;5661325;149;3441;2150625,000000000000000;0,215029984712601;20,636613845825195;20,421583861112595;5,211697227020868;2,811392075038529;17933,450158178806000
150;5614434;150;336;210000,000000000000000;0,241219937801361;4,274894714355469;4,033674776554108;2,007094655185938;0,606688179019778;674,383804142475130
151;56613262;151;3028;1892500,000000000000000;0,049287680536509;13,679169654846191;13,629881974309683;2,826996974632282;1,871463497498614;8560,146839186549200
152;5661259;152;13271;8294375,000000000000000;0,011459155939519;17,845724105834961;17,834264949895442;4,866582721257816;2,563504967113544;64584,419293812476000
153;561445;153;3427;2141875,000000000000000;0,107037223875523;13,141725540161133;13,034688316285610;2,726043306130221;1,651787911791637;9342,150410108268300
154;566129;154;1778;1111250,000000000000000;0,057581525295973;18,162527084350586;18,104945559054613;4,364743411777744;3,216937098727380;7760,513786140829300
155;56613291;155;64;40000,000000000000000;0,322587609291077;14,010950088500977;13,688362479209900;5,984183412045240;4,361726409669370;382,987738370895390
156;532321;156;1293;808125,000000000000000;0,089223273098469;4,311158657073975;4,221935383975506;1,820203767736476;0,680020622577729;2353,523471683263800
157;5661274;157;8542;5338750,000000000000000;0,083522170782089;16,450109481811523;16,366587311029434;4,191849222821490;2,155767898699471;35806,776061341166000
