"clc_111";"clc_112";"clc_121";"clc_122";"clc_123";"clc_124";"clc_131";"clc_132";"clc_133";"clc_141";"clc_142";"clc_211";"clc_221";"clc_222";"clc_231";"clc_242";"clc_243";"clc_311";"clc_312";"clc_313";"clc_321";"clc_322";"clc_324";"clc_331";"clc_333";"clc_411";"clc_412";"clc_511";"clc_512";"expression"
"5323431";;0,0787;;;;;;;;;;;;;0,0639;;0,3753;;0,4821;;;;;;;;;;;"0.0787 * clc_112 + 0.0639 * clc_231 + 0.3753 * clc_243 + 0.4821 * clc_312"
"5323433";;0,0239;;;;;;;;;;;;;0,061;;0,0358;;0,8794;;;;;;;;;;;"0.0239 * clc_112 + 0.061 * clc_231 + 0.0358 * clc_243 + 0.8794 * clc_312"
"5323434";;5e-04;;;;;;;;;;;;;0,3387;;0,0011;;0,5908;0,0688;;;;;;;;;;"5e-04 * clc_112 + 0.3387 * clc_231 + 0.0011 * clc_243 + 0.5908 * clc_312 + 0.0688 * clc_313"
"5323436";;0,0944;;;;;;;;;;;;;0,2884;;0,3227;;0,199;0,0955;;;;;;;;;;"0.0944 * clc_112 + 0.2884 * clc_231 + 0.3227 * clc_243 + 0.199 * clc_312 + 0.0955 * clc_313"
"532344";;0,0264;;;;;;;;;;;;;0,0044;;0,1196;;0,7819;0,0191;;;0,0487;;;;;;;"0.0264 * clc_112 + 0.0044 * clc_231 + 0.1196 * clc_243 + 0.7819 * clc_312 + 0.0191 * clc_313 + 0.0487 * clc_324"
"532361";;0,0057;;;;;;;;;;;;;0,0422;;0,1074;;0,5571;0,0223;0,0304;;0,1843;;;;0,0506;;;"0.0057 * clc_112 + 0.0422 * clc_231 + 0.1074 * clc_243 + 0.5571 * clc_312 + 0.0223 * clc_313 + 0.0304 * clc_321 + 0.1843 * clc_324 + 0.0506 * clc_412"
"53622";;0,0303;;;;;;;;;;0,0166;;;0,2729;0,0213;0,0504;0,0084;0,5448;0,0555;;;;;;;;;;"0.0303 * clc_112 + 0.0166 * clc_211 + 0.2729 * clc_231 + 0.0213 * clc_242 + 0.0504 * clc_243 + 0.0084 * clc_311 + 0.5448 * clc_312 + 0.0555 * clc_313"
"53624";;0,0395;;;;;;;;;0,021;0,0881;;;0,291;;0,1033;0,0156;0,3913;0,0502;;;;;;;;;;"0.0395 * clc_112 + 0.021 * clc_142 + 0.0881 * clc_211 + 0.291 * clc_231 + 0.1033 * clc_243 + 0.0156 * clc_311 + 0.3913 * clc_312 + 0.0502 * clc_313"
"53641";;0;;;;;;;;;;;;;0,3365;;0,0836;;0,313;0,267;;;;;;;;;;"0 * clc_112 + 0.3365 * clc_231 + 0.0836 * clc_243 + 0.313 * clc_312 + 0.267 * clc_313"
"53642";;0,0777;;;;;;;;;;0,0014;;;0,2315;;0,1401;0,0022;0,2246;0,3226;;;;;;;;;;"0.0777 * clc_112 + 0.0014 * clc_211 + 0.2315 * clc_231 + 0.1401 * clc_243 + 0.0022 * clc_311 + 0.2246 * clc_312 + 0.3226 * clc_313"
"53644";;;;;;;;;;;;;;;0,0453;;0,061;0,0939;0,5162;0,1574;;;0,1262;;;;;;;"0.0453 * clc_231 + 0.061 * clc_243 + 0.0939 * clc_311 + 0.5162 * clc_312 + 0.1574 * clc_313 + 0.1262 * clc_324"
"5371121";;;;;;;;;;;;;;;;;;0,0127;0,9563;0,031;;;;;;;;;;"0.0127 * clc_311 + 0.9563 * clc_312 + 0.031 * clc_313"
"5371122";;;;;;;;;;;;;;;;;;0,093;0,907;;;;;;;;;;;"0.093 * clc_311 + 0.907 * clc_312"
"5371123";;;;;;;;;;;;;;;;;;;0,9384;0,0227;;;0,0389;;;;;;;"0.9384 * clc_312 + 0.0227 * clc_313 + 0.0389 * clc_324"
"5371124";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"5371125";;;;;;;;;;;;;;;;;;0,0022;0,9844;;;;0,0134;;;;;;;"0.0022 * clc_311 + 0.9844 * clc_312 + 0.0134 * clc_324"
"5371126";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"5371129";;;;;;;;;;;;;;;;;;0,1938;0,8034;;;;;;;;;0,0028;;"0.1938 * clc_311 + 0.8034 * clc_312 + 0.0028 * clc_511"
"53711311";;;;;;;;;;;;0,0016;;;;;0,0504;0,2542;0,52;;;;;;;;;0,1738;;"0.0016 * clc_211 + 0.0504 * clc_243 + 0.2542 * clc_311 + 0.52 * clc_312 + 0.1738 * clc_511"
"53711319";;;;;;;;;;;;0,0039;;;;;;0,1193;0,781;;;;;;;;;0,0957;;"0.0039 * clc_211 + 0.1193 * clc_311 + 0.781 * clc_312 + 0.0957 * clc_511"
"5371132";;;;;;;;;;;;0,1434;;;0,0466;;;0,057;0,753;;;;;;;;;;;"0.1434 * clc_211 + 0.0466 * clc_231 + 0.057 * clc_311 + 0.753 * clc_312"
"5371139";;;;;;;;;;;;;;;0,1144;;;0,3098;0,3719;;;;;;;;;0,2039;;"0.1144 * clc_231 + 0.3098 * clc_311 + 0.3719 * clc_312 + 0.2039 * clc_511"
"5371149";;0,0072;;;;;;;;;;0,0339;;;0,1022;0,0143;0,0207;0,0315;0,6731;0,1171;;;;;;;;1e-04;;"0.0072 * clc_112 + 0.0339 * clc_211 + 0.1022 * clc_231 + 0.0143 * clc_242 + 0.0207 * clc_243 + 0.0315 * clc_311 + 0.6731 * clc_312 + 0.1171 * clc_313 + 1e-04 * clc_511"
"5371151";;;;;;;;;;;;;;;0,7396;;;0,1838;0,0118;0,0108;;;;;;;;0,054;;"0.7396 * clc_231 + 0.1838 * clc_311 + 0.0118 * clc_312 + 0.0108 * clc_313 + 0.054 * clc_511"
"5371153";;0,0048;;;;;;;;;;0,0504;;;0,2118;;;0,1549;0,2745;0,2009;;;;;;;;0,1026;;"0.0048 * clc_112 + 0.0504 * clc_211 + 0.2118 * clc_231 + 0.1549 * clc_311 + 0.2745 * clc_312 + 0.2009 * clc_313 + 0.1026 * clc_511"
"5371154";;;;;;;;;;;;;;;;;;0,2942;0,582;0,1238;;;;;;;;;;"0.2942 * clc_311 + 0.582 * clc_312 + 0.1238 * clc_313"
"5371155";;;;;;;;;;;;0,2251;;;0,0529;;;;0,5614;0,0102;;;;;;;;0,1505;;"0.2251 * clc_211 + 0.0529 * clc_231 + 0.5614 * clc_312 + 0.0102 * clc_313 + 0.1505 * clc_511"
"53711561";;;;;;;;;;;;;;;;;;0,2563;0,7437;;;;;;;;;;;"0.2563 * clc_311 + 0.7437 * clc_312"
"53711562";;;;;;;;;;;;;;;;;;0,3073;0,6927;;;;;;;;;;;"0.3073 * clc_311 + 0.6927 * clc_312"
"53711563";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53711564";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53711565";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53711566";;;;;;;;;;;;4e-04;;;;;;;0,9996;;;;;;;;;;;"4e-04 * clc_211 + 0.9996 * clc_312"
"53711567";;0,3139;;;;;;;;;;0,4031;;;;;;;0,2831;;;;;;;;;;;"0.3139 * clc_112 + 0.4031 * clc_211 + 0.2831 * clc_312"
"53711568";;0,1702;;;;;;;;;;0,6215;;;0,1677;;;;0,0405;;;;;;;;;;;"0.1702 * clc_112 + 0.6215 * clc_211 + 0.1677 * clc_231 + 0.0405 * clc_312"
"53711569";;0,026;;;;;;;;;;0,6064;;;0,0537;;;;0,1179;0,196;;;;;;;;;;"0.026 * clc_112 + 0.6064 * clc_211 + 0.0537 * clc_231 + 0.1179 * clc_312 + 0.196 * clc_313"
"5371157";;0,0063;;;;;;;;;;0,1664;;;0,0436;;;0,0602;0,3847;0,2505;;;;;;;;0,0881;;"0.0063 * clc_112 + 0.1664 * clc_211 + 0.0436 * clc_231 + 0.0602 * clc_311 + 0.3847 * clc_312 + 0.2505 * clc_313 + 0.0881 * clc_511"
"5371158";;3e-04;;;;;;;;;;0,1048;;;;;;;0,8701;0,0249;;;;;;;;;;"3e-04 * clc_112 + 0.1048 * clc_211 + 0.8701 * clc_312 + 0.0249 * clc_313"
"53711591";;0,1494;;;;;;;;;;0,3378;;;0;;;;0,2821;0,1041;;;;;;;;0,1265;;"0.1494 * clc_112 + 0.3378 * clc_211 + 0 * clc_231 + 0.2821 * clc_312 + 0.1041 * clc_313 + 0.1265 * clc_511"
"53711592";;0,4882;;;;;;;;;;0,3634;;;;;;;;0,1484;;;;;;;;;;"0.4882 * clc_112 + 0.3634 * clc_211 + 0.1484 * clc_313"
"53711599";;0,5725;;;;;;;;;;;;;0,0655;;;;;;;;;;;;;0,362;;"0.5725 * clc_112 + 0.0655 * clc_231 + 0.362 * clc_511"
